amharic,english
ስለ እኛ ገና ገና አብራችሁ መተኛት,on Christmas about us sleeping together
እሱ እየቀለድ ነው,He's just joking
"ካርተር ሄይ, ቦቢ, ሰው ምን ሆነ?","Hey, Bobby, what's up, man?"
"አንድ ሰው ሰውየውን ኮድን ማየት ያስፈልጋል. . ምንም መንገድ, ካርተር የለም","l need to see Clive Cod, man. Oh. No way, Carter"
መብራቶች አሉት. ተዘግተዋል,It's lights out. They're locked down
እኔ ይህ መጥፎ ሥራ ያገኘህ ነኝ. እዚህ እንድገባ ትፈልግብኛለህ,I'm the one that got you this damn job. You better let me in here
መቼ ጀርባዬን አልቀየረም ያንን የአረም ቦርሳ ገዝተሃል?,Didn't l turn my back when you bought that bag of weed?
ከእርስዎ ጋር ተከፋፈለኝ,I was splitting it with you
ግን ትልልቅ ግማሹን አልሰጥዎትም?,But didn't l give you the bigger half?
"ኑ, ቦቢ ይምጡ. አሁን, ይህን ሞገስ አድርጌኝ","Come on, Bobby. Now, do me this favor"
ሹራብ. አምስት ደቂቃዎችን አግኝተዋል,Shit. You got five minutes
ኤች. ክሊፕ ሁህ?,"Hey, Cod. Huh?"
ሁለት ወንድሞችህ እርስዎን ለማየት እዚህ አሉ,Your two brothers are here to see you
"ካርተር ሄይ, ክለሳ, እንዴት ነህ?","Hey, Clive, how you doing, man?"
እዚህ የሚመጡ ኳሶች ተገኝተዋል,You got balls coming here
እኔ በመንገድ ዙሪያ ነበርኩ. አሰልቺ ትሆን ነበር,I was just around the way. Figured you'd be bored
ወደዚህ ገባሁ እንዴት እንደደረሱ ለማየት,I came down here to see how you was doing
ሲኦል ምን ትፈልጋለህ?,What the hell do you want?
እኔ የመጣሁት ስጦታ ነው,I just came to bring you a gift
በእጆችዎ ላይ ጊዜ እንዳገኙ አውቃለሁ. አሻንጉሊት አመጣሁህ,I know you got time on your hands. I brought you a toy
ያንን አይፈልግም. አይደለም?,l don't want that. You don't?
አንድ ሰው እንደዚህ አይነት ነገር ነግሮኛል,Someone told me you like this stuff
እንደዚያ ያሉ ነገሮችን አልወድም. ምን እንደ ሆነ አላውቅም,I don't like stuff like that. I don't even know what it is
ይህንን በጭራሽ ለማንም አልሸጡም? ምን እንደ ሆነ አላውቅም?,"You never sold this to nobody? How could I, when I don't know what it is?"
አቅርብ. መያዝ አይፈልጉም,Hold it. l don't want to hold it
ይንኩለት ይንኩ. ለምን፧ እሱን መንካት አይፈልጉም,Just touch it. Why? l don't want to touch it
እሱን ፈሩ? ደደብ ያለ ይመስልዎታል?,You scared of it? You think l'm stupid?
ለመሰብሰብ በቂ. ለማስመራት የጣት አሻራዎች ይፈልጋሉ,Stupid enough to get busted. You want fingerprints to frame me
"ክሊፕ, ለምን ያንን አደርጋለሁ? ያስቡ እንደገና ለማብረስ እሞክራለሁ?","Clive, why would I do that? Think l would try tricking you again?"
"በተጨማሪም, እርስዎ ማሟላት የለብዎትም. ትንሹን ልጅ ለመግደል ሕይወት ትሠራለህ","Besides, l don't have to frame you. You gonna do life for killing the little girl"
ስለ አንዲት ትንሽ ልጅ ምንም አያውቁም. ሁሉንም ሰው የሚናገር አይደለም,l don't know anything about a little girl. That ain't what l'll tell everybody
ግድ አይባልም. ምንም ነገር አላውቅም. አንድ ትልቅ አፍ አገኘ,l don't care. l don't know anything. l got a big mouth
"የሆነ ነገር ልንገርዎ. አላውቅም ምንም ነገር, ስለዚህ የእኔን ስብ አህያ መሳም ይችላሉ","Let me tell you something. I don't know anything, so you can kiss my fat ass"
"ክሊፕ, ቀኑን ሙሉ እኔን ይወስዳል አህያዎን ለመሳም","Clive, it'd take me all day to kiss your ass"
ምንድን ነው ምን ያደርጋሉ? ትፈልጋለህ አንዳንዶቹ? የሚፈልጉትን ሁሉ እሰጥዎታለሁ,What are you gonna do? You want some of this? l'll give you all you want
ዕድሜዋ ዓመት ብቻ ነው,She's only years old
ስዕሉን ይመልከቱ,Look at the picture
"ስለ እሱ ግድ የለኝም, ግድ የለኝም ስለእናንተ. ስለ ትንሹ ልጃገረድ እረዳለሁ","I don't care about him, I don't care about you. l care about the little girl"
ስሙን ስጠኝ,Give me the name
የወንዱ ስም ጁደኖ ነው,The guy's name is Juntao
መቼም አላየሁም,I never seen him
የት ማግኘት እችላለሁ?,Where can I find him?
ይህንን ሰው ያስወግዱ. እሱ ይገደላል,Get rid of this guy. He'll get you killed
"ክሊፕ, ወንድ ሆይ, አመሰግናለሁ. በሚቀጥለው ጊዜ እመለሳለሁ","Clive, thank you, man. I'm gonna come back next time"
"የስብ አህያዎን እመጣለሁ አንዳንድ ብስኩቶች, ሰዎች","I'm gonna bring your fat ass some cookies, man"
ያ ነው እዚያም ነው,That's it right there
ምን እየጠበቅን ነው?,What are we waiting for?
ሰውየውን አውጥተነዋል. ወደዚያ ውስጥ መሮጥ አልችልም,"We scoping the place out, man. Ain't gonna run up in there"
የተኩሱ እንዴት እንደሆኑ ያወጣል,That's how you get shot
ቾት ጥሩ ምንድነው?,What is it good for?
"ኡህ ሁሃ, ኡህ ሁ. ጦርነት","Uh huh, uh huh War"
እንደገና ይናገሩ ሊ ሁላችሁም,Say it again You all
ፍፁም ቢሆን ጥሩ ነው?,Absolutely what is it good for?
"ሙሉ በሙሉ ምንም እንደገና ዘምሩ, ሁላችሁም","Absolutely nothing Sing it again, you all"
"ጦርነት, ሁ, አዎ, አዎ","War, huh, yeah"
ጥሩ ምንድነው? ሙሉ በሙሉ ምንም,What is it good for? Absolutely nothing
ስለ ጦርነት ምንም አታውቁም. አንድ ሰው ጦርነት ያውቃል,You don't know nothing about no War. Everybody knows War.
ምን ጥሩ ነው? ሙሉ በሙሉ ምንም,What it is it good for? Absolutely nothing
ጥሩ አምላክ! ሁላችሁም,Good God! You all
"ሁላችሁም አይደሉም, ያ ነው","It ain't you all, it's y'all"
"ሰው, እንደ ካራፊ ፊልም ይሰማዎታል. አዎ!","Man, you sound like a karate movie. Y'all! Y'all"
ከሰው ጋር ከዚህ ጋር ተናገር. ሀ,Say it from here with soul. Y'all
እንዴት እንደምታደርግ አህያሽን ያሳየኸኝ,Y'all. Let me show your goofy ass how to do it
"ሰው ዘማሪንግ በሬዲዮ ሁህ, ጥሩ አምላክ,","Huh, good God, y'all"
በል እንጂ። በል እንጂ።,Come on. Come on
አዎ ምን ጥሩ ነው?,Yeah What is it good for?
"ረሃብ, ከልብ እብጠት እንጂ ሌላ አይደለም","War, huh It ain't nothing but a heartbreak"
ጦርነት ጓደኛዬ ብቻ,War Friend only
ጦርነት ጠላት ነው,War It's an enemy
ለሁሉም የሰው ልጆች,To all mankind
እንደገና ያንን ያድርጉ,Do that again
እንደገና ያድርጉት. እንደዚህ እንደዚህ?,Do it again. Like this?
ጦርነት አለመረጋጋትን አስከትሏል,War has caused unrest
በወጣት ትውልድ ውስጥ,Within the younger generation
ማስፋፊያ ከዚያ ጥፋት,Induction then destruction
መሞት የሚፈልግ ማነው? ኦ!,Who wants to die? Oh!
"ቾይስ ጦርነት, ሁዋን ጥሩ አምላክ,","War, huh Good God, y'all"
ጦርነት ልብ ወለድ ካልሆነ በስተቀር ምንም አይደለም,War It ain't nothing but a heartbreaker
ጦርነት አንድ ጓደኛ አግኝቷል,War It's got one friend
ያ ትርጉሙ ነው,That's the undertaker
ኦህ ጦርነት ተሽሯል,"Oh, war has shattered"
ብዙ የወጣቶች ሕልም,Many a young man's dreams
መራራ እና አማካኝ,Bitter and mean
ሕይወት በጣም አጭር እና ውድ ነው,Life is much too short and precious
በእነዚህ ቀናት ጦርነትን ጠብታ ለማሳደግ,To spend fighting wars these days
ጦርነት ሕይወት ሊሰጥ አይችልም,War can't give life
"ኦህ ጦርነት, ጥሩ አምላክ,","Oh, war, huh Good God, y'all"
አንዱ ወደ ሻንጣው ይገባል. ሌላኛው በእናንተ ላይ ይሆናል,One will be inserted into the suitcase. The other will be on you
"አሁን, ጠብታ ሲያደርጉ","Now, when you make the drop"
"ሁሉም መብት, ይውሰዱት","All right, pick it up"
የጠየቅኩት ነገር አለህ? በጭራሽ,You have what I asked for? l do
ምን ያህል ከባድ እንደሆንኩ እንደሚገነዘቡ አሁን ተስፋ አደርጋለሁ,I hope now you realize how serious I am
ገንዘቡን ወደ ኋላ ወደ ኋላ ውሰድ በከተማው ውስጥ ያለው የግራ ቾን ምግብ ቤት,Take the money to the alley behind the Foo Chow Restaurant in Chinatown
ደቂቃዎች ይቀራሉ,You have minutes left
"ግድያ, ቼዝ, ይህ አንዳንድ ቅባት ሹት ነው","Damn, Chen, this is some greasy shit"
የተሻለ ምግብ አላገኙም? የዶሮ ክንፎች,You ain't got better food? Chicken wings
"አንድ ሕፃን መልሶ የጎድን አጥንቶች, አንዳንድ ጥብስ ወይም የሆነ ነገር?","some baby back ribs, some fries or something?"
"የቻይንኛ ምግብ, ምንም ነፍስ የለም","Chinese food, no soul food here"
ነፍስ ምግብ አልናገርም. የተሻለ ምግብ አለ,I didn't say soul food. l said better food
ያንን ቅባት ሹራብ አይፈልግም. አንድ ትልቅ የዝናብ ሳጥን እንዴት እንደሚሸጡ?,I don't want that greasy shit. How you gonna sell a big box of grease?
ቺሊ ነኝ?,I'm chilly a what?
"ኑ. አብራ, ምን እበላሻለሁ?","Come on. Man, what you got me eating?"
. ኢል. ጥሩ ነው?,That's eel. ls it good?
ምን አገኘህ?,What you got?
የሲሚል ቀልድ. ምንድን ነው?,Camel's hump. What?
ጥሩ ጥሩ,Kind of good
"ትንሽ ትኩስ ሾርባ ይፈልጋሉ, ግን ምንም እንኳን ጥሩ ነገር ነው, ግን","Need a little hot sauce, but it's kind of good, though"
አሁንም እየጠበቅን ነው? አዎ,We still waiting? Yeah
እሱ እንዳለ እኛ እንዴት እናውቃለን? ከዚህ በፊት ማንም አላየውም,How we know he exists? Ain't nobody seen him before
አውቃለሁ። አጋርዬን ገድሏል,I know. He killed my partner
ስለ ሰው ስለዚያ አዝናለሁ,"I'm sorry about that, man"
ያ አንደኛው ምክንያት አጋር የለኝም. ያ አንድ ነገር ከአባቴ የተማረው,That's one reason l have no partner. That's one thing l learned from my daddy
"አባዬ አንድ ፖሊስ ነበር? ደም አፍሪካ አመት, ኤል.ኤ.ዲ.ዲ","Your daddy was a policeman? Fifteen years, L.A.P.D"
አባቴም የፖሊስ አካል ነበር,My father was also a policeman
ዳዲዬይ ኮፒ ነበር? አንድ መኮንን አይደለም,"Your daddy was a cop? Not a cop, an officer"
በሆንግ ኮንግ ላይ ያለ አፈ ታሪክ,A legend all over Hong Kong
አባቴም እንዲሁ አፈ ታሪክም. ሁሉም በአሜሪካ,My daddy a legend too. All over America
አባቴ አንድ ጊዜ ሰዎችን በቁጥጥር ስር አውሏል በአንድ ሌሊት ብቻ,My daddy once arrested people in one night by himself
አባቴ ብቻ ነበር,My daddy arrest by himself
አባቴ አምስት ክሬክ ቀዳዳዎችን አድኗል ከሚነድድ ሕንፃ ብቻ ነው,My daddy saved five crackheads from a burning building by himself
አባቴ አንድ ጊዜ ጥይት አዙሯል በባዶ እጆቹ,My daddy once caught a bullet with his bare hands
አባቴ አባዬ የአባቶቻችሁን አህያ እስከዚህም ድረስ ወደ ቻይና ይሄዳሉ,My daddy'll kick your daddy's ass all the way from here to China
ወይም ጃፓን ወይም ሲኦል የምትነግረው,or Japan or wherever the hell you from
ስለ አባቴ አይናገርም. ስለ አባቴ አይናገርም,Don't talk about my father. Don't talk about my daddy
"ሄይ, ያ ልጅህ?","Hey, that your boy?"
ሊ አዎ። እንሂድ,Yes. Let's go
መጀመሪያ ወደ ውስጥ ገባሁ. ማንም ሰው ማወቁኝ አይደለም,I'll go in first. Ain't nobody gonna recognize me
እሺ. አምስት ደቂቃዎችን ጠብቅ,Okay. l'll wait five minutes
"ካርተር ሄይ, የእኔን መታወቂያ ትወስዳለህ","Hey, you take my ID"
"ማንኛውም ነገር ቢሳሳት, እንደ እርስዎ . . .","If anything go wrong, you bust in like you're L.A.P.D"
ይህ አይሰራም. አይደለም,This won't work. l'm not '
"አዎ ይሠራል. እነሆ, ሰው, ስለ አስተሳሰብ ነው","Yes, it will work. Look, man, it's all about attitude"
"በፍጥነት ያድርጉት. ክፍት, ዝጋ. በፍጥነት ያድርጉት","Do it fast. Open, close. Do it fast"
ታገኛለህ. ተመልከት,You'll get it. Look
"ሄይ, ሰው, እንደዚህ ዓይነት ስሜት ከከተማ ውጭ ነዎት","Hey, man, act like you're from out of town"
ከከተማ ውጭ ነኝ,I am from out of town
"ደህና, እንደ ኮፒ አይሂዱ. እንደ ቱሪስት ይሁኑ","Well, don't act like a cop. Act like a tourist"
በጣም ግልጽ መሆን የለብዎትም. መልኩ,Don't be so obvious. Okay
ደህና፧ ምንም ችግር የለም,"All right? Okay, no problem"
"ለአንድ ሰው? አይ, ለሁለት","For one? No, for two"
እኔ ከአቶ ጋር ለመገናኘት እዚህ መጥቻለሁ,I'm here for a meeting with Mr. Juntao
"ኦህ. ይቅርታ ይቅርታ, ሚስተር ጃርታኖ አላውቅም","Oh. l'm sorry, l don't know Mr. Juntao"
አልገባህም. እኔ የአቶ ጠበቃ ነኝ. የሕግ አማካሪ,You don't understand. I'm Mr. Juntao's lawyer. Legal advisor
እሱ እንደገና ወደ አንዳንድ ሹራብ ገባ. እኔ በጣም ሥራ የበዛበት ሰው ነኝ,He done got into some shit again. I'm a very busy man
ጊዜ አላገኘሁም ወደፊት ወደ ታች ለመምጣት,I ain't got time to be coming down here late
"ባለቤቴ ወደ ቤት እንድመለስ ትፈልግ ነበር, ህፃን ሁሉንም እየቀነሰ ይሄዳል","My wife wants me to come home, baby's shitting all over"
ግን በጭራሽ አላውቅም እዚህ እዚህ እንዳልመጣ ነው?,But l have already told you I don't know You think l came here for nothing?
የጋዝ ገንዘብ ይሰጡኛል?,You gonna give me gas money?
በአንተ ላይ አግኝተሃል?,You got on you?
እባክዎን ይንገሩ? ሚስተር የእርሱን አህያውን ለማግኘት?,Would you please tell Mr. Juntao to get his ass down here?
እዚህ መቀመጥ ይችላል?,Can l sit right here?
እዚህ እዚህ? አመሰግናለሁ። አዎ,Right here? Thank you. Yes
ሰላም. እዴት ነህ። ማንኛውም ኢል አግኝቷል?,Hi. How you doing. Y'all got any eel?
ግመልዎ እንዴት ነው?,How's your camel hump?
የሮስኮዬ ዶሮ እና ወዲያ የት አለ?,Where is Roscoe's Chicken and Waffles?
ይቅርታ. ከከተማ ውጭ ነኝ. አህ,l'm sorry. I'm from out of town. Ah
በዚህ መንገድ. አዎ. አመሰግናለሁ,Maybe this way. Yeah. Thank you
ልጅቷን ከዚህ ውጣ,Get the girl out of here
እነዚህ ሁለት ሰዎች እንደማይሄዱ ያረጋግጡ,Make sure those two don't leave
ጊዜው ነው,It's about time
"ኦህ, ይህ ጥብቅ ነው. ይህ እንደ ታች ያለ ምንም ነገር አይደለም,","Oh, this is tight. This ain't nothing like downstairs, y'all"
"ሰው ሆይ, ምን ሆነ? ምን ይመለከታል?","What's up, man? What y'all watching?"
ለምን ዝም አለ?,Why y'all so quiet?
"ሰው, ሰው ነበር","That was childish, man"
ይህ እንኳን አልተጠራም!,That wasn't even called for!
"አሁን, ጂቷሆኦ ለማየት እዚህ ወደዚህ ገባ","Now, l came down here to see Juntao"
ወደዚህ እንድገባ ነገረኝ ምክንያቱም ከቤጂንግ ግማሽ ወንድሜ,because he told me to come down here because l'm his half brother from Beijing
እኔ እና እሱ ተመሳሳይ እማዬ አገኘሁ. እኔ ጥቁር ነኝ,Me and him got the same mama. I'm Blackinese
"እኛ ሁላችንም አንድ ዓይነት ነን. ኦህ, ሄይ ሆይ, አንድ ደቂቃ ጠብቅ","We all the same. Oh, hey, man, wait a minute"
"እሺ, እኔን ይገድሉኛል?","Okay, you gonna kill me?"
"እሺ, ጠመንጃውን ወደታች ያስገቡ, እንደ ሰው ትግልኝ","Okay, put the gun down, fight me like a man"
"ትክክል ነው, እንደ ሰው ትግልኝ. ሹት!","That's right, fight me like a man. Shit!"
የሆነ ሰው አንድ ሰው ሊሾም ይችላል. ያ ማውራት ነው,Anybody can shoot somebody. That's what l'm talking about
ተመለስ. የተወሰነ ክፍል ስጠኝ,"Back, back. Give me some room"
ማን እንደወደዱት አታውቁ. ያንን ቢጫ እለብሳለሁ,Don't know who you messing with. I'll knock that yellow
ከ ውስጥ አንዱ እኔን አስገባኝ?,Which one of y'all kicked me? Me
እሺ. ደህና።,Okay. All right
ቆይ አንዴ። ስለዚህ ጉዳይ እንነጋገር,Hold on. Let's talk about this
"ስለዚህ ሰው, ሰው እንነጋገር. ሰውየው ይያዙት","Let's talk about this, man. Hold it, man"
"አይሆንም, አይሆንም. ምን ማለት ነው?","No, no. What that mean?"
"ሄይ, ሰው, ይህ የተሳሳተ ግንዛቤ ነው. ኑ, እንጸልይ","Hey, man, this is a misunderstanding. Come on, let's pray"
"ካርተር አይ, እኔ አይደለሁም","No, I ain't FBI"
"እኔ የደህንነት ጠባቂ ነኝ, በገበያ አዳራሽ ውስጥ እሠራለሁ","I'm a security guard, I work at the mall"
አሁን እራስዎን አጥፋ,Now wipe yourself off
"ኦህ, ሲኦል የለም. አይደለም, እሱ እየጫወተ ነው. መጫወት. እሱ ማለት አይደለም","Oh, hell no. No, he just playing, man. Playing. He ain't mean that"
እሱ እኔን ፈርቼ ነበር. ልሂድ,He meant cut me loose. Let me go
"ሊ, ምን እያደረክ ነው?","Lee, what you doing?"
ተመልከት! ተመልከት!,Watch out! Watch out!
አህያ አህያችንን አደረግን. ሁሉ,We kicked y'all ass. All y'all
"ዎን ካህል ጋር ተሽከረከረ. ሃ, ሀ","Y'all got your ass kicked. Ha, ha"
አህያዎን እገድላለሁ,I'll kill your ass
"ካርተር ሊ! እዚህ, ሰው!","Lee! Over here, man!"
ያ የእኔ ጠመንጃ ነው?,Is that my gun?
ጠመንጃዬ ነው. ሂድ,lt is my gun. Let's go
"ካርተር ለምን እንደጎደሉ የአምልኮም ባጅ, ?","Why you gotta drop the goddamn badge, huh?"
ከዚያ ጠመንጃውን መስኮቱን ጣሉ,Then you threw the gun out the window
በዚህ መንገድ ኑ,"Come on, this way"
ሁሉንም ነገር በቁጥጥር ስር አውጥቼ ነበር. ስለ ምንም አይጨነቁ,I got everything under control. Don't worry about nothing
"ኢየሱስ, ማርያምና ዮሴፍ!","Jesus, Mary, and Joseph!"
"ሩስ ለምን አልደነቅም እዚህ ማግኘት, ካርተር?","Why am l not surprised to find you here, Carter?"
"ዳን, እነዚህን ሁለት ጀርባ እፈልጋለሁ በአንዱ ቆንስላ ውስጥ","Dan, I want these two back at the consulate immediately"
"እንጓጓ, ጨዋዎች እንይ","Let's take a ride, gentlemen"
"እጅዎን በተሻለ ሁኔታ ያጥፉኛል. ሄይ ሆይ, ከእኔ ጋር","You better get your hand off me. Hey, man, he with me"
ጠብታችንን እያደረግን ነበር. ሃን ጀርባዋን ለማግኘት ነው,We were making the drop. Han was about to get her back
አንተ ሁለታችሁም ተነሱ,and you two screwed it up
"ጠብቅ, ስለ ምን ትናገራለህ?","Wait, what you talking about?"
ማን ሊናገር አልሰማም? ለ አቶ። ሊ ወደ ሆንግ ኮንግ እየተጓዘ ነው,Didn't you hear what Lee said? Mr. Lee is on his way to Hong Kong
አሁን ከዚህ በፊት ከዚህ በፊት ከዚህ በፊት ይወጡ በአንቺ ላይ የመተማመን ክሶች,Now get out of here before l file obstruction ofjustice charges against you
"ከእንግዲህ አይደለህም በዚህ ምደባ, ካርተር ላይ","You're no longer on this assignment, Carter"
"ቆንስላ! ኤስራሪ, ጌታዬ","Consul Han! Sorry, sir"
ሁሉም የእኔ ጥፋት ነበር. ሊ በጭራሽ አያደርግም የልጅዎን ሕይወት አደጋ ላይ የሚጥል ማንኛውም ነገር,It was all my fault. Lee would never do anything to jeopardize your daughter's life
ሴት ልጅዎን ይወዳል,He loves your daughter
ይቅርታ ለመጠየቅ በጣም ዘግይቷል,It's a little too late for apologies
ጥሪ አለዎት,you have a call
"እሺ, አንሳ","Okay, pick it up"
በአንግዳሽ ቤዛው አሁን ሚሊዮን ነው. እኔ በተመራሁበት ጊዜ ነገ እደውላለሁ,IN ENGLlSH The ransom is now million. I will call tomorrow with instructions
ገንዘብዎን ያቀርባሉ ወይም ይውሰዱ የሴት ልጅዎ አካል,You deliver the money or pick up the body of your daughter
አባክሽን። መረዳት አለብዎት. ዛሬ ማታ ምን ሆነ?,Please. You must understand. What happened tonight
እባክዎን ሁሉንም ነገር እንደማደርግ ይንገሯቸው,Please tell them I will do whatever they
ምንም ከባድ መሪ የለም,No hard leads
አዳምጥ እዚህ የምንችለውን ሁሉ እዚህ ነው?,"Listen, we're doing everything we can here, all right?"
የሚመጣውን ማንኛውንም ነገር መከታተል ወደዚህ ግቢ,Tracing everything that's coming into this compound
"ይቅርታ, ቆንስላ ሰበብ. እንግዳ አለህ","Excuse me, consul. You have a guest"
"ጃክ, ደህና ወደ አንተ ወደ አንተ እመለሳለሁ?","Jack, let me get back to you, all right?"
"ጓደኛዬ, ጓደኛዬ","I'm sorry, my friend"
መቆም አልቻልኩም እና ምንም ማድረግ አልችልም,I couldn't stand by and do nothing
ቾትስ በኔ ተናጋሪዎች ላይ ትንሽ ዳንስ ያድርጉ,Do a little dance
ዛሬ ማታ ውረድ,Get down tonight
ሀሎ። ኤች! ልጅ ማን ነው?,"Hello. Hey! What's up, baby?"
"ሰው, እየጣለኝ ነው. እኔ ተንጠልጣለሁ","Man, you got guts calling me. I'm gonna hang up"
"ሄይ, አንድ ደቂቃ ጠብቅ. አይስቀሙ. እነሆ, ምን ታውቃለህ?","Hey, wait a minute. Don't hang up. Look, you know what?"
ስለ እኔ ትክክል ነሽ?,"You was right about me, all right?"
አደንዛዥ ዕፅ ነዎት? ትክክል ነበር,Are you on drugs? You was right
እኔ የእኩልነት ስሜት ነበረብኝ. አልደነገግም ነበር,I was egotistic. l was inconsiderate
ራስ ወዳድ ነበር. አዎ,l was self centered. Yeah
ከአጋሮች ጋር አብሮ መሥራት አልችልም ግን አሁን ስለ እኔ አይደለሁም. እሷ ትንሽ ልጅ ናት,I ain't used to working with partners but it ain't about me now. It's the little girl
ምን እንደሚል ተረድተዋል?,You understand what l'm saying?
"እነሆ, የሆነ ነገር አስብ ዛሬ ማታ ትልልቅ በመሄድ እሺ?","Look, l think something big going down tonight, all right?"
ሊረዱኝ ይችላሉ ብለው ያስባሉ?,You think you can help me?
ምን ማድረግ እንደሚችል እመለከተዋለሁ,I'll see what l can do
"ሁሉም መብት, አንድ ሌላ ነገር. አዎ?","All right, one other thing. Yeah?"
የትኞቹን የቀለም ፓራዎች ላይ ገብተዋል?,What color panties you got on?
እንዳቀዳቸው የቻይንኛ ኤክስፖ,to the Chinese expo as you planned
ገንዘብ ይኑርዎት ፎቅ በተቆጣጣሪ ክፍል ውስጥ,Have the money in the upstairs control room
የበለጠ ስህተት አለመኖርዎን ያረጋግጡ,Be sure to make no more mistake
"ይገባኛል, ግን እፈልጋለሁ ከልጄ ጋር ለመነጋገር!","I understand, but I want to speak with my daughter!"
ይቅርታ. በዚህ አውሮፕላን ላይ ካፒቴን ማን ነው?,Excuse me. Who's the captain on this plane?
ምንም ችግር የለውም. ወደዚያ መውጣት ያስፈልግዎታል,It don't matter. You need to go up there
ካፒቴን እንዳገኘነው በግራ በኩል ችግር,tell the captain we got a problem on the left side
አንድ ነገር ከሞተር ጋር. አዲስ ለውጥ ያስፈልጋል,Something with the engine. Need a new alternator
"ተቆጣጣሪዬ እንዲህ እዚያው ወደ ታች ውረድ, ተለዋዋጭውን አኑሩ","My supervisor said, Go on down there, put the alternator on"
እስክወርድ እስክወር ድረስ እንዲተው አይፍቀዱ.,Don't let it leave till I come down there.
ባለሥልጣናቱን እንዳትናገሩ ሀሳብ አቀርባለሁ ፋሳ ከመድረሱ በፊት ይህንን አውሮፕላን ያንቀሳቅሱ,I suggest you tell the authorities not to move this plane before the FAA comes
.. ሁላችንም በአንዳንድ አንደኛ አንደበተ. ሂድ! አዎ።,...and we all in some shit. Go on! Yes
እዚህ ምን እያደረጉ ነው?,What are you doing here?
"ኑ, ሊ, አህያዎን ያግኙ. ሥራ አገኘን","Come on, Lee, get your ass up. We got work to do"
ወደዚያ ሂድ። እራሴን አዋርደዋለሁ,Go away. I've disgraced myself
"ሊ, ስለ ትንሹ ልጅስ?","Lee, what about the little girl?"
ለቀቅ አርገኝ። እንደ አንተ ያለ ሰው በጭራሽ ሊረዳው አልቻለም,Leave me alone. A man like you could never understand
እንደ እኔ ያለ ሰው? ለራስዎ ብቻ ታድጋሉ,A man like me? You are devoted only to yourself
የፖሊስ መኮንን በመሆን ያፍራሉ. የአባቴን ስም ታዋርዳላችሁ,You're ashamed of being a police officer. You dishonor your father's name
"እነሆ, ምንም አታውቁም ስለ አባቴ","Look, you don't know nothing about my father"
አባትህ አፈ ታሪክ ነው ይላሉ. አባቴ አፈ ታሪክ ነበር,You say your father is a legend. My father was a legend
እሱ የተገደለ መደበኛ ሥራን እያከናወነ ነበር የትራፊክ ማቆሚያ በቀን ውስጥ,He was killed making a routine traffic stop in daylight
በአንዳንድ ምንም ቲኬት ያልፈለጉት,by some punk who didn't want no ticket
ባልደረባው በሚታሰብበት ጊዜ እሱን ለማስመለስ ግን በጭራሽ አላደረገም,when his partner supposed to back him up but never did
አባቴ ልክ እንደ ገና የተጠመደ ነበር እንደ እርስዎ እና አሁን ሞቶ ነበር,"My father was just as much devoted as you, and now he's dead"
ለምንድነው፧ የትራፊክ ትኬት እና አንዳንድ ?,For what? A traffic ticket and some punk?
"ትነግረኛለህ, በዚህ ውስጥ ያለው ክብር ምንድነው?","You tell me, what's the honor in that?"
አባትህ ሕይወቱን እንዳሳለፈ ታምናለህ እርሱ በከንቱ ሞተ?,"You believe your father wasted his life, that he died for nothing?"
እስከ ዓመት እስከ ካይና ድረስ ሆንግ ኮንግ መቆጣጠር,For years until China resumed control of Hong Kong
በጣም ኃይለኛ ነበር በወንጀል ጌታ በደቡብ ምስራቅ እስያ,Juntao was the most powerful crime lord in Southeast Asia
እንግሊዛዊው ለመቅረጽ ሞክሯል እሱ የሚሠራው ሥራ ግን አልተሳካም,"The British tried to close down his operation, but we failed"
ግን የከርካሉ ሴት ልጅ ለምን? ተቆጣጣሪ ተቆጣጣሪ ሊን ረድቶኛል,But why the consul's daughter? Detective Inspector Lee helped me raid
እያንዳንዱ የሚታወቅ ንብረት የ አሠራር,every known asset of Juntao's operation
በሚሊዮኖች የሚቆጠሩ ሰዎች ነን በመሠረቱ እና በጥሬ ገንዘብ,We confiscated millions in weapons and cash
እና የቻይናውያን ጥበብ ስብስብ ስብስብ ይህ በዓለም ላይ ያለማቋረጥ ነበር,and a collection of Chinese art that was unsurpassed in the world
ከዚያ ጄማኖ ጠፋ. ምንም ምስክሮች የሉም,Then Juntao disappeared. No witnesses
በእውነቱ ልጅቷን እንደሚገድል ያስባሉ?,Do you really think he'll kill the girl?
ለእርስዎ ምክር የእኔ ምክር,My advice to you is
ገንዘቡን ይክፈሉ,pay the money
"አሁን, መረጋጋት እንዲችሉ እፈልጋለሁ ምንም መጥፎ ነገር እንደሌለው","Now, l want you to remain calm as if nothing's wrong"
እና ዊትኒን አትተዉ ለትንሽ ጊዜ,and don't leave Whitney's side for a moment
"መልካም ምሽት, ሴቶችና ጨዋዎች","Good evening, ladies and gentlemen"
እኔ የሳንባችን ሃን ነኝ,I'm am Consul Han
"የሕዝቡን ሪ ብሊክ ወክለው የቻይና, በመምጣትዎ እናመሰግናለን","On behalf of the People's Republic of China, thank you for coming"
ዓመት በማቅረብ ደስ ብሎኛል የቻይንኛ ታሪክ እና ቅርስ,I am pleased to present years of Chinese history and heritage
